Animals,Plants,Average_Energy,Average_Lifetime,Average_Children
10,2,97.0,0.0,0.0
10,4,94.0,0.0,0.0
10,6,91.0,0.0,0.0
10,8,88.0,0.0,0.0
11,9,83.0909090909091,0.0,0.18181818181818182
12,11,71.25,0.0,0.3333333333333333
12,13,68.25,0.0,0.3333333333333333
10,14,88.6,5.5,0.4
10,15,95.6,5.5,0.4
10,15,102.6,5.5,0.4
11,16,97.0,5.5,0.5454545454545454
11,16,112.18181818181819,5.5,0.5454545454545454
11,17,113.81818181818181,4.333333333333333,0.7272727272727273
12,16,106.83333333333333,4.333333333333333,0.8333333333333334
13,16,101.46153846153847,4.333333333333333,0.9230769230769231
12,15,131.75,5.0,0.8333333333333334
10,15,164.8,5.666666666666667,1.0
10,15,171.8,5.666666666666667,1.0
10,14,188.8,5.666666666666667,1.0
10,13,205.8,5.666666666666667,1.0
11,14,182.72727272727272,5.666666666666667,1.0909090909090908
12,13,180.83333333333334,5.666666666666667,1.1666666666666667
13,14,165.69230769230768,5.666666666666667,1.2307692307692308
14,16,146.78571428571428,5.666666666666667,1.2857142857142858
14,16,150.92857142857142,5.666666666666667,1.2857142857142858
14,15,155.07142857142858,5.666666666666667,1.2857142857142858
14,15,152.07142857142858,5.666666666666667,1.2857142857142858
15,17,134.93333333333334,5.666666666666667,1.3333333333333333
16,14,140.1875,5.666666666666667,1.375
16,15,135.625,6.571428571428571,1.5
16,16,129.8125,9.333333333333334,1.5
13,15,170.6153846153846,8.153846153846153,1.9230769230769231
10,15,228.3,11.8125,2.5
10,16,213.2,19.176470588235293,2.7
11,17,182.63636363636363,19.176470588235293,2.6363636363636362
11,16,188.72727272727272,19.176470588235293,2.6363636363636362
11,16,194.8181818181818,19.176470588235293,2.6363636363636362
11,16,191.8181818181818,19.176470588235293,2.6363636363636362
11,15,197.9090909090909,19.176470588235293,2.6363636363636362
12,13,200.25,19.176470588235293,2.5833333333333335
13,14,181.69230769230768,19.176470588235293,2.5384615384615383
14,16,160.28571428571428,19.176470588235293,2.5
15,16,142.86666666666667,19.176470588235293,2.466666666666667
14,16,157.07142857142858,19.77777777777778,2.642857142857143
16,18,125.25,19.77777777777778,2.5625
18,16,115.44444444444444,19.77777777777778,2.5
20,16,101.3,21.105263157894736,2.55
21,15,95.85714285714286,21.15,2.619047619047619
18,15,102.55555555555556,17.846153846153847,3.2222222222222223
16,16,108.75,16.258064516129032,3.75
16,17,98.625,15.823529411764707,3.9375
17,16,91.76470588235294,16.6,3.9411764705882355
19,17,78.26315789473684,16.6,3.736842105263158
19,18,73.0,16.210526315789473,4.052631578947368
19,16,80.05263157894737,16.58974358974359,4.105263157894737
17,17,84.76470588235294,16.58139534883721,4.647058823529412
18,17,77.44444444444444,16.5,4.611111111111111
18,15,82.5,16.42222222222222,4.611111111111111
